@@,name,position
->,Pekka Haavisto,Suomen ulkoasiainministeri->Ulkoministeri
->,Tuula Haatainen,Suomen työministeri->Työministeri
->,Maria Ohisalo,Suomen sisäministeri->Sisäministeri
->,Sanna Marin,Suomen pääministeri->Pääministeri
->,Antti Kaikkonen,Suomen puolustusministeri->Puolustusministeri
->,Tytti Tuppurainen,Suomen eurooppaministeri->Eurooppa- ja omistaja­ohjaus­ministeri
->,Jari Leppä,NULL->Maa- ja metsätalousministeri
---,Matti Vanhanen,Suomen valtiovarainministeri
---,Jari Lindström,Suomen työministeri
---,Hanna Kosonen,Suomen tiede- ja kulttuuriministeri
---,Pirkko Mattila,Suomen sosiaali- ja terveysministeri
---,Paula Risikko,Suomen sisäministeri
---,Petteri Orpo,Suomen pääministerin sijainen
---,Jussi Niinistö,Suomen puolustusministeri
---,Jussi Saramo,Suomen opetusministeri
---,Sanni Grahn-Laasonen,Suomen opetusministeri
---,Antti Häkkänen,Suomen oikeusministeri
---,Jari Lindström,Suomen oikeusministeri
---,Sampo Terho,
+++,Krista Mikkonen,Ympäristö- ja ilmastoministeri
+++,Annika Saarikko,Valtiovarainministeri
+++,Antti Kurvinen,Tiede- ja kulttuuriministeri
+++,Hanna Sarkkinen,Sosiaali- ja terveysministeri
+++,Thomas Blomqvist,Pohjoismaisen yhteistyön ja tasa-arvon ministeri
+++,Krista Kiuru,Perhe- ja peruspalveluministeri
+++,Li Andersson,Opetusministeri
+++,Anna-Maja Henriksson,Oikeusministeri
+++,Timo Harakka,Liikenne- ja viestintäministeri
+++,Sirpa Paatero,Kuntaministeri
+++,Ville Skinnari,Kehitysyhteistyö- ja ulkomaankauppaministeri
+++,Mika Lintilä,Elinkeinoministeri
