name,position
Sanna Marin,Pääministeri
Annika Saarikko,Valtiovarainministeri
Tytti Tuppurainen,Eurooppa- ja omistajaohjausministeri
Pekka Haavisto,Ulkoministeri
Ville Skinnari,Kehitysyhteistyö- ja ulkomaankauppaministeri
Anna-Maja Henriksson,Oikeusministeri
Thomas Blomqvist,Pohjoismaisen yhteistyön ja tasa-arvon ministeri
Krista Mikkonen,Sisäministeri
Antti Kaikkonen,Puolustusministeri
Sirpa Paatero,Kuntaministeri
Li Andersson,Opetusministeri
Antti Kurvinen,Tiede- ja kulttuuriministeri
Jari Leppä,Maa- ja metsätalousministeri
Timo Harakka,Liikenne- ja viestintäministeri
Tuula Haatainen,Työministeri
Mika Lintilä,Elinkeinoministeri
Hanna Sarkkinen,Sosiaali- ja terveysministeri
Krista Kiuru,Perhe- ja peruspalveluministeri
Emma Kari,Ympäristö- ja ilmastoministeri
