wanted,position,positionid,from,start,end
Q7045446,Minister of Science and Culture,Q21141009,Q11852135,2021-05-27,2022-04-29
Q4984722,Minister for Development Cooperation and Foreign Trade,Q107551007,Q5485318,2019-12-10,
Q7045446,Minister of Family Affairs and Social Services,Q11895097,Q2332874,2019-12-10,2022-02-04
Q964549,Minister of the Environment and Climate Change,Q1425432,Q11873020,2019-12-10,2021-11-19
Q7045446,Minister of Science and Culture,Q21141009,Q5648706,2019-08-09,2020-08-05
Q29419244,ambassador to Israel,Q1860502,Q109585960,2019-04-01,
Q11875437,"Minister for European Affairs, Culture and Sport",Q11894988,Q355463,2015-05-29,2017-05-05
Q11887901,Minister of Education,Q11895091,Q5406165,2015-05-29,2019-06-06
Q2332874,Minister of Transport and Communications,Q11895063,Q16980286,2015-05-29,2019-05-29
Q2983780,Minister of Transport and Communications,Q11895063,Q16980286,2015-05-29,2019-05-29
Q2983767,Minister of Transport and Local Government,Q25713902,Q2983780,2014-06-24,2015-05-29
Q2868553,Minister for European Affairs and Foreign Trade,Q11895142,Q503143,2011-06-22,2014-06-23
Q560930,Minister for International Development,Q17118521,Q256001,2011-06-22,2013-10-16
Q4981949,Minister of Housing,Q18694340,Q32219,2007-04-19,2011-06-21
Q546665,Minister of Communications,Q18694351,Q3071916,2007-04-19,2011-06-21
Q546665,Minister of Transport,Q15934457,Q4349014,2007-04-19,2011-06-22
Q3180769,Minister for European Affairs and Foreign Trade,Q11895142,Q105068,2005-09-02,2006-03-03
Q460600,Speaker of the Parliament,Q392228,Q29110,2003-04-22,2007-03-20
Q11868692,Minister of Culture,Q23725756,Q133361,2003-04-17,2007-04-19
Q16164255,Minister of the Environment and Climate Change,Q1425432,Q2605274,2003-04-17,2006-12-31
Q16989697,Deputy Chancellor of Justice,Q100511448,Q6109574,2001,2007
Q58121,Minister of Trade and Industry,Q10495390,Q4968788,2000-02-25,2003-04-16
