@@,itemlabel,item,startdate,enddate
->,Kullervo Manner,Q935974,1917-04-04,1917-10-31->1917-10-30
->,V. J. Sukselainen->Vieno Johannes Sukselainen,Q708371,1956-03-09,1957-05-28
->,V. J. Sukselainen->Vieno Johannes Sukselainen,Q708371,1958-07-29,1959-01-14
->,V. J. Sukselainen->Vieno Johannes Sukselainen,Q708371,1968-03-26,1970-03-20
->,V. J. Sukselainen->Vieno Johannes Sukselainen,Q708371,1972-02-29,1976-01-28
->,Veikko Helle,Q5799015,1976->1976-02-05,1978->1978-01-31
->,Ahti Pekkala,Q2152508,1978->1978-02-01,1979->1979-05-29
->,Matti Ahde,Q771900,1987-05-08,1988->1989-02-01
->,Sauli Niinistö,Q29207,2007-04-24,2011-04-27->2011-04-19
->,Juha Sipilä,Q1711532,2015-04-28,2015-05-28->2015-05-29
