position,title
Q107406458,ambassador to Bulgaria
Q60901257,ambassador to Canada
Q107399606,ambassador to Denmark
Q57166399,ambassador to Egypt
Q61052919,ambassador to Estonia
Q107400734,ambassador to Germany
Q63433844,ambassador to Hungary
Q57166919,ambassador to India
Q107405651,ambassador to Japan
Q40652469,ambassador to Malaysia
Q50792329,ambassador to Norway
Q107389849,ambassador to Poland
Q107406449,ambassador to Portugal
Q106299915,ambassador to Russia
Q56819522,ambassador to Sweden
Q57168019,ambassador to Thailand
Q63214897,ambassador to Turkey
Q24958563,ambassador to Ukraine
Q48961808,ambassador to the United States
Q40651705,ambassador of Finland
Q42901272,City Manager of Helsinki
Q11898801,City Manager of Turku
Q111317598,mayor of Turku
Q18632234,mayor of Oulu
Q55332262,mayor of Tampere
